# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715279.01209 0.112667 0.019225 0.111236 -0.814707 0.004300 -0.579855 0.001564 0.0002609283 0.0000005588 -0.0000849882 0.0000241859 0.0000051840 0.0000442654 0.0025322333 0.0000106581 0.0000142596 0.0025147069 0.0000013845 0.0025177717
1403715279.06219 0.124854 0.019519 0.118653 -0.814549 0.004126 -0.580079 0.001452 0.0002609531 0.0000005260 -0.0000854110 0.0000238284 0.0000042831 0.0000436709 0.0025430238 0.0000129728 0.0000185260 0.0025186359 0.0000017497 0.0025225084
1403715279.11193 0.135704 0.019246 0.120469 -0.813933 0.004019 -0.580943 0.001263 0.0002612711 0.0000000295 -0.0000854482 0.0000220032 0.0000029111 0.0000428237 0.0025520008 0.0000139489 0.0000226873 0.0025227426 0.0000017701 0.0025278586
1403715279.16220 0.144647 0.018918 0.115956 -0.813527 0.003207 -0.581517 0.000701 0.0002614345 0.0000001004 -0.0000857763 0.0000205579 0.0000020323 0.0000418674 0.0025608346 0.0000144147 0.0000258056 0.0025255876 0.0000018607 0.0025332370
1403715279.21220 0.156168 0.018667 0.109401 0.813910 -0.002560 0.580985 0.000046 0.0002618272 0.0000005917 -0.0000855843 0.0000213260 0.0000018697 0.0000423013 0.0025794234 0.0000182805 0.0000325626 0.0025325087 0.0000026675 0.0025412634
1403715279.26220 0.167842 0.018348 0.101974 0.814178 -0.001981 0.580612 0.000195 0.0002619788 0.0000008892 -0.0000857186 0.0000221487 0.0000017665 0.0000430256 0.0026023944 0.0000228366 0.0000404138 0.0025414759 0.0000036377 0.0025506299
1403715279.31108 0.138952 0.020018 0.093094 0.810528 -0.000333 0.585699 0.000982 0.0002611430 -0.0000007161 -0.0000876584 0.0000077053 0.0000000231 0.0000365295 0.0025203384 0.0000032828 0.0000031031 0.0025220225 -0.0000051955 0.0025238208
1403715279.36157 0.130987 0.021552 0.097414 0.810033 -0.000976 0.586383 0.000658 0.0002617661 0.0000000029 -0.0000851821 0.0000056117 0.0000000776 0.0000333420 0.0025074771 0.0000013381 0.0000012593 0.0025115947 -0.0000013156 0.0025146550
1403715279.41270 0.133755 0.024342 0.101430 0.810253 -0.001604 0.586078 0.000149 0.0002620162 -0.0000006762 -0.0000844092 0.0000051057 0.0000002833 0.0000325112 0.0025051390 0.0000007886 0.0000007094 0.0025093944 -0.0000013870 0.0025074475
1403715279.46276 0.136761 0.024888 0.100005 -0.810980 0.001636 -0.585071 0.000206 0.0002615089 -0.0000006914 -0.0000850964 0.0000051049 0.0000002803 0.0000329751 0.0025050070 0.0000006010 0.0000007538 0.0025096056 -0.0000012759 0.0025077474
1403715279.51275 0.139429 0.025433 0.100137 -0.811213 0.001727 -0.584749 0.000625 0.0002613712 -0.0000008944 -0.0000852764 0.0000050941 0.0000003379 0.0000330609 0.0025048808 0.0000005106 0.0000008134 0.0025098210 -0.0000011386 0.0025079977
1403715279.56251 0.141900 0.025902 0.101318 0.811070 -0.001178 0.584948 0.000003 0.0002614422 -0.0000004198 -0.0000851765 0.0000050651 0.0000001691 0.0000329393 0.0025047811 0.0000004137 0.0000008865 0.0025100082 -0.0000009966 0.0025082047
1403715279.61244 0.143859 0.026186 0.103569 0.811526 -0.001103 0.584315 0.000214 0.0002611745 -0.0000002893 -0.0000855205 0.0000050338 0.0000001176 0.0000331564 0.0025046836 0.0000003317 0.0000009691 0.0025101406 -0.0000008531 0.0025083609
1403715279.66241 0.145433 0.026266 0.106856 0.811816 -0.000818 0.583913 0.000239 0.0002610061 -0.0000001945 -0.0000857266 0.0000050003 0.0000000783 0.0000332767 0.0025045965 0.0000002724 0.0000010617 0.0025102322 -0.0000007146 0.0025084889
1403715279.71244 0.146909 0.026155 0.111279 0.811767 -0.000805 0.583981 0.000248 0.0002610295 -0.0000001690 -0.0000856745 0.0000049657 0.0000000627 0.0000332076 0.0025045315 0.0000002237 0.0000011686 0.0025103181 -0.0000005870 0.0025086065
1403715279.76243 0.148075 0.025975 0.116682 0.811988 -0.000837 0.583673 0.000151 0.0002608704 -0.0000001916 -0.0000858600 0.0000049341 0.0000000643 0.0000333229 0.0025044815 0.0000001885 0.0000012891 0.0025103784 -0.0000004722 0.0025087025
1403715279.81246 0.148932 0.025634 0.122890 -0.812284 0.001168 -0.583261 0.000114 0.0002606939 -0.0000004282 -0.0000860744 0.0000049128 0.0000001378 0.0000334666 0.0025044451 0.0000001796 0.0000014257 0.0025104363 -0.0000003920 0.0025088196
1403715279.86247 0.149300 0.025082 0.129911 -0.812712 0.001028 -0.582665 0.000114 0.0002604314 -0.0000003733 -0.0000864085 0.0000048982 0.0000001136 0.0000337071 0.0025044275 0.0000001826 0.0000015752 0.0025105085 -0.0000003392 0.0025089460
1403715279.91250 0.149543 0.024474 0.137457 0.813319 -0.000999 0.581818 0.000083 0.0002600475 -0.0000002664 -0.0000868947 0.0000048850 0.0000000731 0.0000340693 0.0025044165 0.0000001910 0.0000017230 0.0025105597 -0.0000002905 0.0025090463
1403715279.96251 0.149830 0.023854 0.145134 0.815004 -0.000796 0.579455 0.000512 0.0002590039 0.0000000004 -0.0000882161 0.0000048749 -0.0000000215 0.0000350923 0.0025043867 0.0000002011 0.0000018532 0.0025105996 -0.0000002386 0.0025090855
1403715280.01238 0.150465 0.022819 0.151129 0.818527 -0.000975 0.574466 0.000631 0.0002567166 -0.0000000395 -0.0000909511 0.0000047956 -0.0000000016 0.0000372906 0.0025041963 0.0000001952 0.0000018335 0.0025103174 -0.0000003351 0.0025083260
1403715280.06246 0.150727 0.022227 0.157516 0.822786 -0.000995 0.568349 0.000813 0.0002538898 0.0000000671 -0.0000942452 0.0000048186 -0.0000000458 0.0000401138 0.0025040747 0.0000002049 0.0000019520 0.0025104503 -0.0000002966 0.0025083786
1403715280.11261 0.151572 0.021310 0.164211 0.826621 0.000753 0.562745 0.003734 0.0002512810 0.0000018824 -0.0000970984 0.0000048563 -0.0000007649 0.0000427068 0.0025039741 0.0000001986 0.0000020928 0.0025105427 -0.0000002630 0.0025084270
1403715280.16288 0.153492 0.020185 0.171790 0.828782 0.002599 0.559531 0.006175 0.0002497617 0.0000035207 -0.0000986545 0.0000049090 -0.0000014448 0.0000441873 0.0025039380 0.0000001971 0.0000022561 0.0025107232 -0.0000002431 0.0025085125
1403715280.21311 0.156539 0.019131 0.180243 0.829579 0.005592 0.558265 0.010346 0.0002491175 0.0000062197 -0.0000991859 0.0000050211 -0.0000025544 0.0000447218 0.0025039664 0.0000002113 0.0000024365 0.0025110366 -0.0000002278 0.0025086338
1403715280.26341 0.161035 0.018400 0.189728 0.829223 0.008264 0.558679 0.014131 0.0002492628 0.0000086708 -0.0000988496 0.0000051577 -0.0000035376 0.0000444248 0.0025040430 0.0000002157 0.0000026123 0.0025115001 -0.0000002078 0.0025087763
1403715280.31346 0.167000 0.018434 0.199858 0.828520 0.010398 0.559606 0.016975 0.0002496565 0.0000105528 -0.0000982559 0.0000052763 -0.0000042707 0.0000438814 0.0025041536 0.0000001920 0.0000027746 0.0025121449 -0.0000001906 0.0025089316
1403715280.36348 0.174124 0.019224 0.210244 0.827255 0.011705 0.561371 0.019375 0.0002503904 0.0000120064 -0.0000973142 0.0000053751 -0.0000047991 0.0000430126 0.0025042929 0.0000001309 0.0000029277 0.0025129761 -0.0000001823 0.0025091155
1403715280.41350 0.182330 0.020619 0.220382 0.825812 0.011897 0.563391 0.022005 0.0002512279 0.0000132400 -0.0000962542 0.0000054717 -0.0000052172 0.0000420497 0.0025044624 0.0000000324 0.0000030835 0.0025139865 -0.0000001757 0.0025093316
1403715280.46344 0.191465 0.022896 0.230211 0.825233 0.008536 0.564306 0.021850 0.0002517350 0.0000121572 -0.0000958483 0.0000053396 -0.0000047705 0.0000416545 0.0025046614 -0.0000001136 0.0000032338 0.0025151623 -0.0000001740 0.0025095281
1403715280.51346 0.201275 0.025984 0.239409 0.824171 0.001869 0.565957 0.020786 0.0002526655 0.0000096878 -0.0000951169 0.0000051108 -0.0000037752 0.0000409488 0.0025048936 -0.0000003276 0.0000033893 0.0025165167 -0.0000002014 0.0025096978
1403715280.56345 0.211424 0.029362 0.248033 0.823152 -0.005748 0.567414 0.020695 0.0002534681 0.0000073821 -0.0000944349 0.0000049490 -0.0000028623 0.0000403085 0.0025051686 -0.0000006057 0.0000035630 0.0025179603 -0.0000001932 0.0025098415
1403715280.61329 0.222110 0.032376 0.256468 0.821842 -0.014760 0.569106 0.021837 0.0002543344 0.0000051932 -0.0000935786 0.0000048246 -0.0000020012 0.0000395173 0.0025054121 -0.0000009075 0.0000037191 0.0025192627 -0.0000001248 0.0025098338
1403715280.66334 0.232741 0.036124 0.263948 0.820690 -0.024120 0.570279 0.025848 0.0002549486 0.0000039929 -0.0000929357 0.0000047933 -0.0000015327 0.0000389552 0.0025057951 -0.0000011555 0.0000039513 0.0025210306 -0.0000001210 0.0025100687
1403715280.71328 0.242803 0.039828 0.271999 0.819438 -0.034635 0.571321 0.030235 0.0002555315 0.0000027491 -0.0000923029 0.0000047654 -0.0000010616 0.0000383956 0.0025062421 -0.0000015167 0.0000041921 0.0025226660 -0.0000001419 0.0025101595
1403715280.76332 0.253638 0.043373 0.277726 0.818552 -0.045343 0.571510 0.035957 0.0002557745 0.0000019053 -0.0000920491 0.0000047639 -0.0000007458 0.0000381758 0.0025068624 -0.0000018958 0.0000044818 0.0025244576 -0.0000001481 0.0025104103
1403715280.81334 0.264676 0.046449 0.283241 0.817989 -0.056394 0.570914 0.042085 0.0002557291 0.0000012323 -0.0000921285 0.0000047680 -0.0000004978 0.0000382370 0.0025075730 -0.0000023107 0.0000047744 0.0025264181 -0.0000001435 0.0025106343
1403715280.86337 0.276003 0.049562 0.288794 0.816617 -0.067231 0.571168 0.048814 0.0002561142 0.0000008348 -0.0000916932 0.0000047728 -0.0000003482 0.0000378635 0.0025083863 -0.0000027412 0.0000050667 0.0025285713 -0.0000001410 0.0025108543
1403715280.91333 0.286914 0.052525 0.294136 0.815484 -0.077050 0.570964 0.055231 0.0002562562 0.0000006468 -0.0000915473 0.0000047724 -0.0000002756 0.0000377331 0.0025092908 -0.0000032124 0.0000053416 0.0025308880 -0.0000001203 0.0025110468
1403715280.96324 0.297715 0.055491 0.299360 0.814236 -0.085345 0.571009 0.060703 0.0002565295 0.0000004709 -0.0000912445 0.0000047577 -0.0000002057 0.0000374681 0.0025102210 -0.0000037000 0.0000055658 0.0025332621 -0.0000000976 0.0025111916
1403715281.01316 0.307952 0.058563 0.304359 0.813158 -0.092920 0.570871 0.065163 0.0002566981 0.0000000482 -0.0000910702 0.0000047288 -0.0000000463 0.0000373070 0.0025112007 -0.0000042069 0.0000057416 0.0025356545 -0.0000000878 0.0025113246
1403715281.06309 0.318786 0.061480 0.309621 0.812627 -0.098946 0.570058 0.069862 0.0002566224 0.0000002975 -0.0000911922 0.0000046807 -0.0000001276 0.0000373842 0.0025121483 -0.0000047615 0.0000058059 0.0025380382 -0.0000000456 0.0025113996
1403715281.11301 0.329651 0.064072 0.314869 0.811798 -0.104268 0.569841 0.073438 0.0002567182 0.0000002180 -0.0000911100 0.0000046102 -0.0000000868 0.0000372796 0.0025129633 -0.0000053362 0.0000057848 0.0025405856 0.0000000337 0.0025114352
1403715281.16294 0.340533 0.066972 0.319930 0.810909 -0.108410 0.569903 0.076710 0.0002569573 0.0000003173 -0.0000908571 0.0000045255 -0.0000001067 0.0000370229 0.0025136017 -0.0000058844 0.0000056954 0.0025431004 0.0000001484 0.0025114410
1403715281.21283 0.351425 0.067936 0.324191 0.810242 -0.112384 0.569710 0.079425 0.0002569601 0.0000003528 -0.0000908884 0.0000043957 -0.0000000931 0.0000369372 0.0025133952 -0.0000061338 0.0000053283 0.0025448150 0.0000004833 0.0025112326
1403715281.26285 0.362519 0.070165 0.328346 0.809794 -0.117148 0.569017 0.082036 0.0002568988 -0.0000000478 -0.0000909998 0.0000043158 0.0000000656 0.0000369859 0.0025137756 -0.0000064242 0.0000052969 0.0025473528 0.0000005489 0.0025113260
1403715281.31288 0.371445 0.074091 0.330413 0.809558 -0.122359 0.567725 0.085633 0.0002565315 -0.0000001228 -0.0000914759 0.0000042130 0.0000001083 0.0000372987 0.0025138450 -0.0000066786 0.0000051633 0.0025495612 0.0000007421 0.0025112310
1403715281.36281 0.381749 0.075877 0.332563 0.809250 -0.128186 0.566310 0.089303 0.0002561890 -0.0000001174 -0.0000919191 0.0000040882 0.0000001201 0.0000376001 0.0025138343 -0.0000072258 0.0000050300 0.0025514583 0.0000009221 0.0025111204
1403715281.41282 0.392461 0.077559 0.334886 0.808939 -0.134397 0.564615 0.093624 0.0002557717 -0.0000000013 -0.0000924513 0.0000040176 0.0000000813 0.0000380003 0.0025143712 -0.0000075716 0.0000050396 0.0025541226 0.0000009939 0.0025112017
1403715281.46283 0.402646 0.078923 0.336492 0.807802 -0.141355 0.563594 0.099176 0.0002557185 0.0000002805 -0.0000925530 0.0000039277 -0.0000000219 0.0000380249 0.0025149265 -0.0000078936 0.0000050595 0.0025569687 0.0000010737 0.0025112787
1403715281.51279 0.412656 0.080271 0.337426 0.806475 -0.149301 0.562326 0.105338 0.0002556752 0.0000005268 -0.0000926439 0.0000038265 -0.0000001153 0.0000380301 0.0025155258 -0.0000081838 0.0000050973 0.0025597522 0.0000011513 0.0025113509
1403715281.56277 0.422686 0.081724 0.337486 0.805108 -0.157967 0.560492 0.112675 0.0002555238 0.0000010769 -0.0000928588 0.0000037261 -0.0000003225 0.0000381348 0.0025161938 -0.0000084493 0.0000051468 0.0025625802 0.0000012253 0.0025114107
1403715281.61276 0.433265 0.082689 0.336509 0.803130 -0.167775 0.558895 0.120292 0.0002555176 0.0000014145 -0.0000929028 0.0000036231 -0.0000004535 0.0000380919 0.0025169656 -0.0000087636 0.0000052211 0.0025655455 0.0000012751 0.0025114706
1403715281.66276 0.444480 0.083215 0.334849 0.800805 -0.178652 0.557128 0.128075 0.0002555095 0.0000014833 -0.0000929510 0.0000035223 -0.0000004862 0.0000380590 0.0025178278 -0.0000090403 0.0000053186 0.0025688100 0.0000013076 0.0025115763
1403715281.71274 0.454818 0.083277 0.332728 0.798270 -0.190057 0.554992 0.136480 0.0002554228 0.0000018695 -0.0000930867 0.0000034311 -0.0000006376 0.0000381156 0.0025188734 -0.0000092843 0.0000054179 0.0025723779 0.0000013476 0.0025117483
1403715281.76270 0.465650 0.083071 0.330771 0.795644 -0.202198 0.552412 0.144593 0.0002552737 0.0000018101 -0.0000933036 0.0000033377 -0.0000006272 0.0000382348 0.0025199815 -0.0000094415 0.0000055213 0.0025758694 0.0000013735 0.0025119567
1403715281.81271 0.475693 0.083378 0.328129 0.792756 -0.214545 0.549660 0.152912 0.0002549680 0.0000017396 -0.0000937078 0.0000032345 -0.0000006100 0.0000384490 0.0025210669 -0.0000096079 0.0000056023 0.0025794648 0.0000014034 0.0025120950
1403715281.86268 0.486132 0.082944 0.325359 0.789016 -0.227064 0.547603 0.161331 0.0002551492 0.0000016752 -0.0000935437 0.0000031451 -0.0000005938 0.0000382264 0.0025223910 -0.0000098738 0.0000057037 0.0025831237 0.0000013771 0.0025123295
1403715281.91272 0.496111 0.082833 0.321238 0.785600 -0.239048 0.544677 0.170342 0.0002550409 0.0000018227 -0.0000937128 0.0000030497 -0.0000006544 0.0000382439 0.0025236690 -0.0000100556 0.0000057420 0.0025870148 0.0000013831 0.0025124275
1403715281.96272 0.506776 0.082770 0.317063 0.781851 -0.251259 0.541992 0.178390 0.0002550785 0.0000017309 -0.0000937174 0.0000029259 -0.0000006280 0.0000381213 0.0025249845 -0.0000103203 0.0000057757 0.0025908703 0.0000013774 0.0025124932
1403715282.01273 0.517896 0.082339 0.312737 0.777969 -0.263503 0.539216 0.185949 0.0002549810 0.0000014463 -0.0000938798 0.0000028347 -0.0000005309 0.0000381633 0.0025264665 -0.0000106531 0.0000058236 0.0025951113 0.0000013667 0.0025126415
1403715282.06272 0.529157 0.081542 0.307681 0.773879 -0.275313 0.536587 0.193362 0.0002549705 0.0000010911 -0.0000939420 0.0000027302 -0.0000004074 0.0000381088 0.0025279396 -0.0000109267 0.0000058739 0.0025996196 0.0000013548 0.0025127586
1403715282.11271 0.542112 0.081195 0.302481 0.770178 -0.285640 0.533345 0.201939 0.0002550707 0.0000017100 -0.0000938640 0.0000026271 -0.0000006485 0.0000379268 0.0025293815 -0.0000111818 0.0000058729 0.0026041942 0.0000013706 0.0025128548
1403715282.16274 0.555699 0.081169 0.296831 0.766396 -0.296672 0.530126 0.208778 0.0002548674 0.0000014299 -0.0000941509 0.0000025104 -0.0000005559 0.0000380553 0.0025308796 -0.0000115946 0.0000058775 0.0026093540 0.0000014031 0.0025129179
1403715282.21274 0.568913 0.080849 0.291191 0.762261 -0.306592 0.527256 0.216703 0.0002549102 0.0000018720 -0.0000941419 0.0000024062 -0.0000007300 0.0000379324 0.0025324319 -0.0000120640 0.0000058602 0.0026148900 0.0000014552 0.0025129542
1403715282.26280 0.582703 0.081394 0.285713 0.758703 -0.316950 0.523205 0.223983 0.0002546988 0.0000019982 -0.0000944221 0.0000022692 -0.0000007814 0.0000380152 0.0025337660 -0.0000123831 0.0000058290 0.0026202006 0.0000014912 0.0025127872
1403715282.31278 0.597060 0.080992 0.280051 0.754712 -0.327234 0.519580 0.231009 0.0002542947 0.0000022988 -0.0000949219 0.0000021919 -0.0000009145 0.0000383564 0.0025354084 -0.0000129134 0.0000058101 0.0026260291 0.0000015718 0.0025127889
1403715282.36278 0.611199 0.080472 0.274804 0.750380 -0.337312 0.516105 0.238298 0.0002541612 0.0000025352 -0.0000951127 0.0000021105 -0.0000010194 0.0000384280 0.0025370051 -0.0000132666 0.0000057970 0.0026320694 0.0000016501 0.0025127809
1403715282.41277 0.627071 0.080916 0.269228 0.746974 -0.346375 0.511128 0.246583 0.0002537964 0.0000037255 -0.0000955322 0.0000020550 -0.0000014901 0.0000387146 0.0025385963 -0.0000135001 0.0000057453 0.0026381591 0.0000017791 0.0025128254
1403715282.46277 0.642653 0.080938 0.262967 0.742387 -0.356863 0.507474 0.252943 0.0002535575 0.0000035287 -0.0000958560 0.0000019732 -0.0000014342 0.0000389172 0.0025403532 -0.0000140665 0.0000057261 0.0026452525 0.0000019069 0.0025128648
1403715282.51276 0.658480 0.080412 0.256549 0.737460 -0.366263 0.504217 0.260325 0.0002537113 0.0000038644 -0.0000957209 0.0000019109 -0.0000015666 0.0000387008 0.0025420515 -0.0000144076 0.0000057027 0.0026524162 0.0000019972 0.0025128846
1403715282.56277 0.673800 0.080704 0.250113 0.732495 -0.375633 0.500851 0.267395 0.0002538208 0.0000040200 -0.0000956406 0.0000018376 -0.0000016231 0.0000385176 0.0025436319 -0.0000146306 0.0000057170 0.0026595555 0.0000020482 0.0025128247
1403715282.61277 0.689793 0.079573 0.242698 0.726909 -0.384099 0.498636 0.274652 0.0002545358 0.0000043308 -0.0000948611 0.0000017687 -0.0000017103 0.0000377055 0.0025451621 -0.0000150687 0.0000056939 0.0026666841 0.0000020373 0.0025125591
1403715282.66278 0.706865 0.079300 0.236389 0.720927 -0.393007 0.496813 0.281045 0.0002552702 0.0000039439 -0.0000940817 0.0000017093 -0.0000015559 0.0000369496 0.0025468580 -0.0000153022 0.0000056762 0.0026742686 0.0000020045 0.0025125388
1403715282.71277 0.724054 0.078771 0.229954 0.714663 -0.402334 0.495041 0.286912 0.0002559313 0.0000031951 -0.0000933874 0.0000016409 -0.0000012691 0.0000362719 0.0025486057 -0.0000157181 0.0000056889 0.0026823524 0.0000019303 0.0025124869
1403715282.76276 0.741281 0.078051 0.223106 0.708319 -0.411727 0.493650 0.291677 0.0002565162 0.0000018522 -0.0000927817 0.0000015691 -0.0000007670 0.0000356809 0.0025502820 -0.0000160277 0.0000057512 0.0026905502 0.0000018113 0.0025124154
1403715282.81277 0.758701 0.077216 0.215832 0.702496 -0.421352 0.491176 0.296154 0.0002566579 0.0000006112 -0.0000926779 0.0000015144 -0.0000003093 0.0000355222 0.0025518783 -0.0000161525 0.0000058463 0.0026988543 0.0000016669 0.0025123309
1403715282.86273 0.776977 0.076017 0.209024 0.696752 -0.429770 0.488377 0.302196 0.0002570789 0.0000003511 -0.0000922204 0.0000014615 -0.0000002042 0.0000350577 0.0025533338 -0.0000162082 0.0000059180 0.0027073454 0.0000015133 0.0025121190
1403715282.91272 0.794823 0.075123 0.201533 0.690684 -0.437689 0.485820 0.308808 0.0002576767 0.0000003199 -0.0000915434 0.0000014224 -0.0000001905 0.0000344376 0.0025550819 -0.0000164036 0.0000059387 0.0027166200 0.0000013682 0.0025120117
1403715282.96269 0.812570 0.074745 0.194241 0.684773 -0.446240 0.482741 0.314511 0.0002579038 -0.0000000975 -0.0000913138 0.0000013851 -0.0000000407 0.0000341947 0.0025568858 -0.0000166172 0.0000059552 0.0027260296 0.0000012489 0.0025119062
1403715283.01267 0.830649 0.073918 0.186918 0.678411 -0.454855 0.480030 0.320059 0.0002583118 -0.0000006705 -0.0000908562 0.0000013508 0.0000001640 0.0000337690 0.0025587273 -0.0000169877 0.0000059666 0.0027355198 0.0000011021 0.0025117830
1403715283.06266 0.848660 0.073270 0.179779 0.671583 -0.463679 0.477757 0.325156 0.0002587294 -0.0000017287 -0.0000903715 0.0000013274 0.0000005369 0.0000333293 0.0025605662 -0.0000172228 0.0000059972 0.0027454179 0.0000009432 0.0025116652
1403715283.11265 0.866659 0.073168 0.172425 0.664867 -0.472645 0.475296 0.329625 0.0002589379 -0.0000030354 -0.0000901244 0.0000013218 0.0000009959 0.0000330915 0.0025624421 -0.0000175550 0.0000060055 0.0027554641 0.0000007897 0.0025115970
1403715283.16264 0.883974 0.073010 0.166042 0.657743 -0.481590 0.473458 0.333591 0.0002592547 -0.0000046937 -0.0000897005 0.0000013384 0.0000015756 0.0000327094 0.0025642107 -0.0000179290 0.0000060688 0.0027654711 0.0000005890 0.0025114673
1403715283.21262 0.901589 0.073147 0.158947 0.650595 -0.490267 0.471407 0.337847 0.0002595911 -0.0000061545 -0.0000892277 0.0000013674 0.0000020783 0.0000322974 0.0025659632 -0.0000183264 0.0000061396 0.0027752472 0.0000003556 0.0025113137
1403715283.26261 0.918059 0.073621 0.152700 0.643965 -0.498238 0.468695 0.342627 0.0002598025 -0.0000070215 -0.0000889390 0.0000013883 0.0000023711 0.0000320371 0.0025678240 -0.0000188061 0.0000061789 0.0027854708 0.0000001405 0.0025111856
1403715283.31260 0.933754 0.074353 0.146465 0.637311 -0.506390 0.466047 0.346706 0.0002598544 -0.0000082558 -0.0000888135 0.0000014384 0.0000027936 0.0000319140 0.0025696603 -0.0000193702 0.0000062027 0.0027952520 -0.0000000624 0.0025111067
1403715283.36259 0.948816 0.074989 0.140881 0.630918 -0.513296 0.463192 0.352028 0.0002602573 -0.0000085794 -0.0000883109 0.0000014353 0.0000028848 0.0000314909 0.0025714710 -0.0000200252 0.0000061913 0.0028044581 -0.0000002510 0.0025110180
1403715283.41255 0.962912 0.075332 0.135217 0.625864 -0.520905 0.458641 0.355811 0.0002596946 -0.0000088996 -0.0000890481 0.0000014346 0.0000030279 0.0000320376 0.0025732166 -0.0000206987 0.0000061436 0.0028132671 -0.0000003861 0.0025109788
1403715283.46251 0.977012 0.075568 0.129547 0.621311 -0.528446 0.453593 0.359126 0.0002588748 -0.0000091002 -0.0000901003 0.0000014242 0.0000031478 0.0000328449 0.0025747949 -0.0000213422 0.0000060357 0.0028214217 -0.0000004735 0.0025109393
1403715283.51246 0.990297 0.074746 0.124277 0.617652 -0.535028 0.447460 0.363360 0.0002580067 -0.0000082082 -0.0000913014 0.0000013454 0.0000028852 0.0000337811 0.0025764103 -0.0000219125 0.0000059395 0.0028294937 -0.0000004717 0.0025109036
1403715283.56248 1.003077 0.073488 0.119606 0.614454 -0.541062 0.441201 0.367478 0.0002571178 -0.0000070430 -0.0000924936 0.0000012507 0.0000025183 0.0000347152 0.0025776951 -0.0000221862 0.0000058970 0.0028366318 -0.0000003977 0.0025105693
1403715283.61249 1.015067 0.074256 0.114845 0.611579 -0.546900 0.434984 0.371026 0.0002560081 -0.0000060443 -0.0000939188 0.0000011876 0.0000021995 0.0000358920 0.0025791752 -0.0000222678 0.0000057708 0.0028441257 -0.0000003392 0.0025105721
1403715283.66251 1.027199 0.075345 0.110264 0.609278 -0.551420 0.429942 0.373986 0.0002551936 -0.0000050595 -0.0000949595 0.0000011330 0.0000018636 0.0000367659 0.0025805354 -0.0000228515 0.0000056247 0.0028512829 -0.0000001996 0.0025105535
1403715283.71254 1.039345 0.076484 0.105987 0.606962 -0.554872 0.426337 0.376763 0.0002548341 -0.0000043294 -0.0000954437 0.0000010953 0.0000016032 0.0000371690 0.0025816255 -0.0000234778 0.0000054415 0.0028585726 -0.0000000269 0.0025105434
